Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0
1/28/2020,3,0,0,,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0
1/30/2020,4,0,0,,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0
2/4/2020,9,2,0,,0,0,0,2,0
2/5/2020,9,0,0,,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0
2/7/2020,10,0,0,,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0
2/9/2020,11,0,0,,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1
2/11/2020,11,0,0,,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0
2/13/2020,11,0,0,,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1
2/21/2020,11,0,0,,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,122,39,14,,2,0,0,43,7
3/7/2020,206,84,44,,2,0,0,86,14
3/8/2020,260,54,19,,2,0,0,53,7
3/9/2020,333,73,5,,2,0,0,76,5
3/10/2020,438,105,14,,2,0,0,104,6
3/11/2020,611,173,22,,2,0,0,176,6
3/12/2020,1029,418,29,,2,0,0,426,7
3/13/2020,1970,941,61,,2,0,0,973,14
3/14/2020,2870,900,73,,2,0,0,920,15
3/15/2020,3900,1030,68,,2,0,0,1058,26
3/16/2020,6045,2145,150,,2,0,0,2218,18
3/17/2020,8726,2681,249,,2,0,0,2763,28
3/18/2020,11711,2985,259,,2,0,0,3074,156
3/19/2020,14615,2904,278,,2,0,0,2999,142
3/20/2020,18260,3645,388,,2,0,0,3753,123
3/21/2020,20793,2533,321,,2,0,0,2603,168
3/22/2020,22689,1896,286,,2,0,0,1944,158
3/23/2020,26476,3787,609,,2,0,0,3895,202
3/24/2020,30472,3996,718,,2,0,0,4114,207
3/25/2020,34575,4103,746,,2,0,0,4216,269
3/26/2020,38997,4422,936,,2,0,0,4540,299
3/27/2020,43366,4369,943,,2,0,0,4474,342
3/28/2020,46168,2802,655,,2,0,0,2871,332
3/29/2020,48237,2069,523,,2,0,0,2155,318
3/30/2020,53293,5056,1238,,2,0,0,5174,416
3/31/2020,58530,5237,1265,,2,0,0,5459,472
4/1/2020,63455,4925,1337,,2,0,0,5113,463
4/2/2020,68672,5217,1278,,5,3,1,5410,597
4/3/2020,74424,5752,1480,,5,0,0,5961,626
4/4/2020,78415,3991,1163,,9,4,1,4065,690
4/5/2020,81837,3422,976,,9,0,0,3575,538
4/6/2020,88505,6668,1932,,13,4,0,6839,775
4/7/2020,95072,6567,2023,,17,4,0,6682,954
4/8/2020,101877,6805,1864,,19,2,0,7004,964
4/9/2020,108312,6435,1979,,41,22,2,6765,1032
4/10/2020,115899,7587,2054,,41,0,0,7798,1053
4/11/2020,120265,4366,1296,,42,1,0,4505,801
4/12/2020,123332,3067,929,,45,3,2,3135,700
4/13/2020,129671,6339,2004,,53,8,0,6433,1106
4/14/2020,139435,9764,2873,,62,9,2,9881,1468
4/15/2020,149374,9939,2600,,72,10,2,10226,1443
4/16/2020,158292,8918,2389,,93,21,0,8999,1702
4/17/2020,169392,11100,3009,,173,80,5,11462,1751
4/18/2020,175439,6047,1483,,181,8,3,6373,1108
4/19/2020,180038,4599,1090,,191,10,1,4670,925
4/20/2020,190839,10801,2695,,255,64,6,11080,1891
4/21/2020,200307,9468,2195,,331,76,11,9719,2109
4/22/2020,212797,12490,2716,,479,148,17,12767,2630
4/23/2020,223603,10806,2412,,953,474,31,10897,2530
4/24/2020,235969,12366,2283,,1852,899,82,12396,2495
4/25/2020,244226,8257,1497,,2339,487,25,8444,1821
4/26/2020,249118,4892,848,,2794,455,36,4805,1402
4/27/2020,260108,10990,2131,,3938,1144,79,10880,2916
4/28/2020,272386,12278,2108,,5362,1424,83,12294,2984
4/29/2020,285039,12653,2190,,7071,1709,105,12613,2908
4/30/2020,298804,13765,2049,,8449,1378,116,13759,3120
5/1/2020,312924,14120,2085,,10225,1776,129,14032,3264
5/2/2020,320204,7280,1034,,10820,595,57,7344,1854
5/3/2020,325314,5110,735,,11224,404,42,5054,1409
5/4/2020,337440,12126,1887,,13209,1985,161,11971,3477
5/5/2020,350113,12673,1740,,15152,1943,157,12488,3530
5/6/2020,363458,13345,1710,,17084,1932,184,13111,3575
5/7/2020,376971,13513,1687,,19133,2049,173,13473,3620
5/8/2020,390320,13349,1462,,20991,1858,136,13275,3669
5/9/2020,396158,5838,684,,21614,623,38,5725,1963
5/10/2020,399327,3169,386,,21966,352,77,3093,1465
5/11/2020,411209,11882,1318,,23781,1815,162,11657,3990
