Date,Positive Total,Positive New,Probable Total,Probable New
1/29/2020,1,1,0,0
1/30/2020,1,0,0,0
1/31/2020,1,0,0,0
2/1/2020,1,0,0,0
2/2/2020,1,0,0,0
2/3/2020,1,0,0,0
2/4/2020,1,0,0,0
2/5/2020,1,0,0,0
2/6/2020,2,1,0,0
2/7/2020,2,0,0,0
2/8/2020,2,0,0,0
2/9/2020,2,0,0,0
2/10/2020,2,0,0,0
2/11/2020,2,0,0,0
2/12/2020,2,0,0,0
2/13/2020,2,0,0,0
2/14/2020,2,0,0,0
2/15/2020,2,0,0,0
2/16/2020,2,0,0,0
2/17/2020,2,0,0,0
2/18/2020,2,0,0,0
2/19/2020,2,0,0,0
2/20/2020,2,0,0,0
2/21/2020,2,0,0,0
2/22/2020,2,0,0,0
2/23/2020,2,0,0,0
2/24/2020,2,0,0,0
2/25/2020,2,0,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,2,0,0,0
2/29/2020,2,0,0,0
3/1/2020,3,1,3,3
3/2/2020,3,0,5,2
3/3/2020,4,1,8,3
3/4/2020,6,2,9,1
3/5/2020,14,8,12,3
3/6/2020,28,14,12,0
3/7/2020,72,44,15,3
3/8/2020,91,19,20,5
3/9/2020,96,5,24,4
3/10/2020,110,14,30,6
3/11/2020,132,22,35,5
3/12/2020,161,29,39,4
3/13/2020,222,61,44,5
3/14/2020,295,73,48,4
3/15/2020,363,68,54,6
3/16/2020,513,150,57,3
3/17/2020,762,249,65,8
3/18/2020,1021,259,72,7
3/19/2020,1299,278,78,6
3/20/2020,1687,388,88,10
3/21/2020,2008,321,98,10
3/22/2020,2294,286,102,4
3/23/2020,2903,609,113,11
3/24/2020,3621,718,124,11
3/25/2020,4367,746,135,11
3/26/2020,5303,936,139,4
3/27/2020,6246,943,145,6
3/28/2020,6901,655,153,8
3/29/2020,7424,523,158,5
3/30/2020,8662,1238,160,2
3/31/2020,9927,1265,164,4
4/1/2020,11264,1337,169,5
4/2/2020,12542,1278,175,6
4/3/2020,14022,1480,183,8
4/4/2020,15185,1163,189,6
4/5/2020,16161,976,197,8
4/6/2020,18093,1932,203,6
4/7/2020,20115,2022,212,9
4/8/2020,21979,1864,220,8
4/9/2020,23957,1978,231,11
4/10/2020,26011,2054,239,8
4/11/2020,27307,1296,247,8
4/12/2020,28236,929,260,13
4/13/2020,30239,2003,266,6
4/14/2020,33112,2873,271,5
4/15/2020,35712,2600,285,14
4/16/2020,38101,2389,293,8
4/17/2020,41109,3008,311,18
4/18/2020,42592,1483,318,7
4/19/2020,43682,1090,322,4
4/20/2020,46377,2695,335,13
4/21/2020,48572,2195,353,18
4/22/2020,51287,2715,383,30
4/23/2020,53697,2410,410,27
4/24/2020,55980,2283,475,65
4/25/2020,57477,1497,498,23
4/26/2020,58325,848,528,30
4/27/2020,60455,2130,599,71
4/28/2020,62563,2108,662,63
4/29/2020,64753,2190,746,84
4/30/2020,66801,2048,846,100
5/1/2020,68886,2085,941,95
5/2/2020,69918,1032,999,58
5/3/2020,70653,735,1032,33
5/4/2020,72536,1883,1168,136
5/5/2020,74274,1738,1296,128
5/6/2020,75979,1705,1437,141
5/7/2020,77663,1684,1559,122
5/8/2020,79123,1460,1653,94
5/9/2020,79807,684,1685,32
5/10/2020,80193,386,1747,62
5/11/2020,81507,1314,1858,111
5/12/2020,82963,1456,1975,117
5/13/2020,84285,1322,2105,130
5/14/2020,85601,1316,2232,127
5/15/2020,86710,1109,2327,95
5/16/2020,87363,653,2365,38
5/17/2020,87728,365,2411,46
5/18/2020,89048,1320,2511,100
5/19/2020,90130,1082,2633,122
5/20/2020,91153,1023,2739,106
