Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,1,1,0,0,0
1/25/2020,2,0,0,,1,0,0,0,0
1/26/2020,2,0,0,,1,0,0,0,0
1/27/2020,3,1,0,,1,0,0,1,0
1/28/2020,3,0,0,,1,0,0,0,0
1/29/2020,4,1,1,,1,0,0,1,0
1/30/2020,4,0,0,,1,0,0,0,0
1/31/2020,4,0,0,,1,0,0,0,0
2/1/2020,4,0,0,,1,0,0,0,0
2/2/2020,4,0,0,,1,0,0,0,0
2/3/2020,7,3,0,,1,0,0,3,0
2/4/2020,9,2,0,,1,0,0,2,0
2/5/2020,9,0,0,,1,0,0,0,0
2/6/2020,10,1,1,,1,0,0,1,0
2/7/2020,10,0,0,,1,0,0,0,0
2/8/2020,11,1,0,,1,0,0,1,0
2/9/2020,11,0,0,,1,0,0,0,0
2/10/2020,11,0,0,,1,0,0,0,1
2/11/2020,11,0,0,,1,0,0,0,0
2/12/2020,11,0,0,,1,0,0,1,0
2/13/2020,11,0,0,,1,0,0,0,0
2/14/2020,11,0,0,,1,0,0,0,0
2/15/2020,11,0,0,,1,0,0,0,0
2/16/2020,11,0,0,,1,0,0,0,0
2/17/2020,11,0,0,,1,0,0,0,0
2/18/2020,11,0,0,,1,0,0,0,0
2/19/2020,11,0,0,,1,0,0,0,0
2/20/2020,11,0,0,,1,0,0,0,1
2/21/2020,11,0,0,,1,0,0,0,0
2/22/2020,11,0,0,,1,0,0,0,0
2/23/2020,11,0,0,,1,0,0,0,0
2/24/2020,11,0,0,,1,0,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,122,39,14,,2,0,0,43,7
3/7/2020,206,84,44,,2,0,0,86,14
3/8/2020,260,54,19,,2,0,0,53,7
3/9/2020,333,73,5,,2,0,0,76,5
3/10/2020,438,105,14,,2,0,0,104,6
3/11/2020,611,173,22,,2,0,0,176,6
3/12/2020,1029,418,29,,2,0,0,426,7
3/13/2020,1969,940,61,,2,0,0,973,14
3/14/2020,2869,900,73,,2,0,0,920,15
3/15/2020,3899,1030,68,,2,0,0,1058,26
3/16/2020,6044,2145,150,,2,0,0,2218,18
3/17/2020,8726,2682,249,,2,0,0,2763,28
3/18/2020,11712,2986,259,,2,0,0,3074,156
3/19/2020,14617,2905,278,,2,0,0,3000,142
3/20/2020,18266,3649,388,,2,0,0,3753,123
3/21/2020,20800,2534,321,,2,0,0,2603,168
3/22/2020,22697,1897,286,,2,0,0,1944,158
3/23/2020,26486,3789,609,,2,0,0,3895,202
3/24/2020,30484,3998,719,,2,0,0,4115,207
3/25/2020,34587,4103,746,,2,0,0,4216,269
3/26/2020,39009,4422,936,,2,0,0,4540,299
3/27/2020,43381,4372,943,,2,0,0,4475,342
3/28/2020,46183,2802,655,,2,0,0,2871,332
3/29/2020,48252,2069,523,,2,0,0,2155,318
3/30/2020,53310,5058,1238,,2,0,0,5174,416
3/31/2020,58549,5239,1265,,2,0,0,5459,472
4/1/2020,63477,4928,1337,,2,0,0,5114,463
4/2/2020,68696,5219,1277,,5,3,1,5410,597
4/3/2020,74451,5755,1480,,5,0,0,5961,626
4/4/2020,78444,3993,1163,,9,4,1,4065,690
4/5/2020,81867,3423,976,,9,0,0,3575,538
4/6/2020,88540,6673,1932,,13,4,0,6842,775
4/7/2020,95114,6574,2023,,17,4,0,6686,954
4/8/2020,101923,6809,1866,,19,2,0,7009,962
4/9/2020,108367,6444,1980,,41,22,2,6771,1030
4/10/2020,115963,7596,2054,,41,0,0,7807,1046
4/11/2020,120339,4376,1297,,42,1,0,4510,798
4/12/2020,123423,3084,930,,45,3,2,3152,699
4/13/2020,129762,6339,2004,,53,8,0,6434,1105
4/14/2020,139531,9769,2873,,62,9,2,9882,1467
4/15/2020,149474,9943,2600,,72,10,2,10227,1442
4/16/2020,158399,8925,2390,,93,21,0,8999,1702
4/17/2020,169511,11112,3009,,173,80,5,11466,1747
4/18/2020,175561,6050,1483,,181,8,3,6374,1107
4/19/2020,180161,4600,1090,,191,10,1,4671,924
4/20/2020,190966,10805,2695,,255,64,6,11081,1891
4/21/2020,200442,9476,2196,,331,76,11,9722,2107
4/22/2020,212939,12497,2716,,479,148,17,12768,2628
4/23/2020,223751,10812,2413,,954,475,31,10900,2527
4/24/2020,236123,12372,2282,,1854,900,82,12397,2494
4/25/2020,244385,8262,1497,,2341,487,25,8444,1821
4/26/2020,249282,4897,848,,2796,455,36,4808,1400
4/27/2020,260273,10991,2131,,3940,1144,79,10881,2915
4/28/2020,272560,12287,2108,,5364,1424,83,12296,2982
4/29/2020,285218,12658,2190,,7073,1709,105,12615,2906
4/30/2020,298994,13776,2049,,8451,1378,116,13764,3115
5/1/2020,313132,14138,2085,,10227,1776,129,14036,3264
5/2/2020,320417,7285,1035,,10822,595,57,7346,1852
5/3/2020,325528,5111,735,,11226,404,42,5055,1408
5/4/2020,337672,12144,1887,,13211,1985,161,11982,3466
5/5/2020,350358,12686,1740,,15154,1943,157,12496,3522
5/6/2020,363714,13356,1710,,17086,1932,184,13116,3570
5/7/2020,377230,13516,1687,,19135,2049,173,13474,3619
5/8/2020,390583,13353,1462,,20993,1858,136,13266,3667
5/9/2020,396420,5837,684,,21615,622,37,5722,1963
5/10/2020,399590,3170,386,,21967,352,77,3094,1464
5/11/2020,411479,11889,1318,,23782,1815,162,11662,3986
