Date,Positive Total,Positive New,Probable Total,Probable New
1/29/2020,1,1,0,0
1/30/2020,1,0,0,0
1/31/2020,1,0,0,0
2/1/2020,1,0,0,0
2/2/2020,1,0,0,0
2/3/2020,1,0,0,0
2/4/2020,1,0,0,0
2/5/2020,1,0,0,0
2/6/2020,2,1,0,0
2/7/2020,2,0,0,0
2/8/2020,2,0,0,0
2/9/2020,2,0,0,0
2/10/2020,2,0,0,0
2/11/2020,2,0,0,0
2/12/2020,2,0,0,0
2/13/2020,2,0,0,0
2/14/2020,2,0,0,0
2/15/2020,2,0,0,0
2/16/2020,2,0,0,0
2/17/2020,2,0,0,0
2/18/2020,2,0,0,0
2/19/2020,2,0,0,0
2/20/2020,2,0,0,0
2/21/2020,2,0,0,0
2/22/2020,2,0,0,0
2/23/2020,2,0,0,0
2/24/2020,2,0,0,0
2/25/2020,2,0,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,2,0,0,0
2/29/2020,2,0,0,0
3/1/2020,3,1,3,3
3/2/2020,3,0,5,2
3/3/2020,4,1,8,3
3/4/2020,6,2,9,1
3/5/2020,14,8,12,3
3/6/2020,28,14,12,0
3/7/2020,72,44,15,3
3/8/2020,91,19,20,5
3/9/2020,96,5,24,4
3/10/2020,110,14,30,6
3/11/2020,132,22,35,5
3/12/2020,161,29,39,4
3/13/2020,222,61,45,6
3/14/2020,295,73,49,4
3/15/2020,363,68,55,6
3/16/2020,513,150,58,3
3/17/2020,762,249,66,8
3/18/2020,1021,259,73,7
3/19/2020,1299,278,79,6
3/20/2020,1687,388,90,11
3/21/2020,2008,321,99,9
3/22/2020,2294,286,103,4
3/23/2020,2903,609,114,11
3/24/2020,3621,718,125,11
3/25/2020,4367,746,136,11
3/26/2020,5303,936,141,5
3/27/2020,6246,943,148,7
3/28/2020,6900,654,156,8
3/29/2020,7423,523,161,5
3/30/2020,8661,1238,163,2
3/31/2020,9927,1266,168,5
4/1/2020,11264,1337,173,5
4/2/2020,12542,1278,179,6
4/3/2020,14022,1480,187,8
4/4/2020,15185,1163,194,7
4/5/2020,16162,977,203,9
4/6/2020,18094,1932,208,5
4/7/2020,20116,2022,218,10
4/8/2020,21980,1864,227,9
4/9/2020,23958,1978,238,11
4/10/2020,26012,2054,246,8
4/11/2020,27309,1297,253,7
4/12/2020,28238,929,266,13
4/13/2020,30240,2002,272,6
4/14/2020,33111,2871,277,5
4/15/2020,35710,2599,291,14
4/16/2020,38099,2389,299,8
4/17/2020,41105,3006,317,18
4/18/2020,42586,1481,324,7
4/19/2020,43675,1089,328,4
4/20/2020,46367,2692,341,13
4/21/2020,48557,2190,359,18
4/22/2020,51271,2714,389,30
4/23/2020,53679,2408,416,27
4/24/2020,55962,2283,481,65
4/25/2020,57458,1496,504,23
4/26/2020,58305,847,534,30
4/27/2020,60435,2130,605,71
4/28/2020,62542,2107,668,63
4/29/2020,64732,2190,751,83
4/30/2020,66780,2048,852,101
5/1/2020,68864,2084,948,96
5/2/2020,69895,1031,1006,58
5/3/2020,70630,735,1039,33
5/4/2020,72511,1881,1175,136
5/5/2020,74249,1738,1303,128
5/6/2020,75949,1700,1444,141
5/7/2020,77632,1683,1565,121
5/8/2020,79092,1460,1659,94
5/9/2020,79776,684,1691,32
5/10/2020,80162,386,1753,62
5/11/2020,81473,1311,1864,111
5/12/2020,82929,1456,1983,119
5/13/2020,84249,1320,2114,131
5/14/2020,85565,1316,2241,127
5/15/2020,86672,1107,2337,96
5/16/2020,87322,650,2376,39
5/17/2020,87685,363,2423,47
5/18/2020,89002,1317,2524,101
5/19/2020,90082,1080,2645,121
5/20/2020,91104,1022,2752,107
