Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0
1/28/2020,3,0,0,,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0
1/30/2020,4,0,0,,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0
2/4/2020,9,2,0,,0,0,0,2,0
2/5/2020,9,0,0,,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0
2/7/2020,10,0,0,,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0
2/9/2020,11,0,0,,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1
2/11/2020,11,0,0,,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0
2/13/2020,11,0,0,,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1
2/21/2020,11,0,0,,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,122,39,14,,2,0,0,43,7
3/7/2020,206,84,44,,2,0,0,86,14
3/8/2020,260,54,19,,2,0,0,53,7
3/9/2020,333,73,5,,2,0,0,76,5
3/10/2020,438,105,14,,2,0,0,104,6
3/11/2020,611,173,22,,2,0,0,176,6
3/12/2020,1029,418,29,,2,0,0,426,7
3/13/2020,1969,940,61,,2,0,0,973,14
3/14/2020,2869,900,73,,2,0,0,920,15
3/15/2020,3899,1030,68,,2,0,0,1058,26
3/16/2020,6044,2145,150,,2,0,0,2218,18
3/17/2020,8725,2681,249,,2,0,0,2763,28
3/18/2020,11711,2986,259,,2,0,0,3074,156
3/19/2020,14615,2904,277,,2,0,0,3000,142
3/20/2020,18263,3648,388,,2,0,0,3753,123
3/21/2020,20796,2533,321,,2,0,0,2603,168
3/22/2020,22693,1897,286,,2,0,0,1944,158
3/23/2020,26482,3789,609,,2,0,0,3895,202
3/24/2020,30480,3998,719,,2,0,0,4115,207
3/25/2020,34583,4103,746,,2,0,0,4216,269
3/26/2020,39005,4422,936,,2,0,0,4540,299
3/27/2020,43377,4372,943,,2,0,0,4475,342
3/28/2020,46179,2802,655,,2,0,0,2871,332
3/29/2020,48248,2069,523,,2,0,0,2155,318
3/30/2020,53305,5057,1238,,2,0,0,5174,416
3/31/2020,58543,5238,1265,,2,0,0,5459,472
4/1/2020,63469,4926,1337,,2,0,0,5113,463
4/2/2020,68688,5219,1278,,5,3,1,5411,597
4/3/2020,74441,5753,1480,,5,0,0,5961,626
4/4/2020,78434,3993,1163,,9,4,1,4065,690
4/5/2020,81857,3423,976,,9,0,0,3575,538
4/6/2020,88530,6673,1932,,13,4,0,6842,775
4/7/2020,95103,6573,2023,,17,4,0,6686,954
4/8/2020,101912,6809,1866,,19,2,0,7009,962
4/9/2020,108355,6443,1980,,41,22,2,6770,1031
4/10/2020,115945,7590,2054,,41,0,0,7800,1052
4/11/2020,120314,4369,1296,,42,1,0,4506,801
4/12/2020,123398,3084,930,,45,3,2,3152,699
4/13/2020,129737,6339,2004,,53,8,0,6434,1105
4/14/2020,139504,9767,2873,,62,9,2,9881,1468
4/15/2020,149445,9941,2600,,72,10,2,10227,1442
4/16/2020,158367,8922,2389,,93,21,0,8999,1702
4/17/2020,169476,11109,3009,,173,80,5,11464,1749
4/18/2020,175525,6049,1483,,181,8,3,6374,1107
4/19/2020,180125,4600,1090,,191,10,1,4671,924
4/20/2020,190929,10804,2695,,255,64,6,11081,1891
4/21/2020,200403,9474,2195,,331,76,11,9721,2108
4/22/2020,212899,12496,2716,,479,148,17,12768,2628
4/23/2020,223708,10809,2413,,953,474,31,10898,2529
4/24/2020,236078,12370,2282,,1853,900,82,12397,2494
4/25/2020,244340,8262,1497,,2340,487,25,8444,1821
4/26/2020,249235,4895,848,,2795,455,36,4807,1401
4/27/2020,260226,10991,2131,,3939,1144,79,10881,2915
4/28/2020,272512,12286,2108,,5363,1424,83,12295,2983
4/29/2020,285169,12657,2190,,7072,1709,105,12615,2906
4/30/2020,298942,13773,2049,,8450,1378,116,13761,3118
5/1/2020,313077,14135,2085,,10226,1776,129,14036,3264
5/2/2020,320361,7284,1034,,10821,595,57,7346,1852
5/3/2020,325471,5110,735,,11225,404,42,5054,1409
5/4/2020,337608,12137,1887,,13210,1985,161,11975,3473
5/5/2020,350288,12680,1740,,15153,1943,157,12491,3527
5/6/2020,363643,13355,1710,,17085,1932,184,13116,3570
5/7/2020,377158,13515,1687,,19134,2049,173,13474,3619
5/8/2020,390509,13351,1462,,20992,1858,136,13266,3667
5/9/2020,396345,5836,684,,21615,623,38,5722,1963
5/10/2020,399515,3170,386,,21967,352,77,3094,1464
5/11/2020,411402,11887,1318,,23782,1815,162,11661,3986
