Date of Death,New Deaths,Running Total
3/18/2020,2,2
3/19/2020,1,3
3/20/2020,2,5
3/21/2020,2,7
3/22/2020,4,11
3/23/2020,6,17
3/24/2020,9,26
3/25/2020,7,33
3/26/2020,9,42
3/27/2020,15,57
3/28/2020,15,72
3/29/2020,25,97
3/30/2020,28,125
3/31/2020,28,153
4/1/2020,36,189
4/2/2020,42,231
4/3/2020,36,267
4/4/2020,37,304
4/5/2020,68,372
4/6/2020,80,452
4/7/2020,71,523
4/8/2020,100,623
4/9/2020,112,735
4/10/2020,106,841
4/11/2020,118,959
4/12/2020,113,1072
4/13/2020,161,1233
4/14/2020,121,1354
4/15/2020,175,1529
4/16/2020,173,1702
4/17/2020,170,1872
4/18/2020,167,2039
4/19/2020,173,2212
4/20/2020,171,2383
4/21/2020,160,2543
4/22/2020,153,2696
4/23/2020,189,2885
4/24/2020,195,3080
4/25/2020,147,3227
4/26/2020,153,3380
4/27/2020,159,3539
4/28/2020,144,3683
4/29/2020,160,3843
4/30/2020,140,3983
5/1/2020,176,4159
5/2/2020,138,4297
5/3/2020,137,4434
5/4/2020,132,4566
5/5/2020,137,4703
5/6/2020,133,4836
5/7/2020,129,4965
5/8/2020,106,5071
5/9/2020,103,5174
5/10/2020,119,5293
5/11/2020,120,5413
5/12/2020,109,5522
5/13/2020,107,5629
5/14/2020,86,5715
5/15/2020,89,5804
5/16/2020,39,5843
