Date of Death,New Deaths,Running Total
3/18/2020,2,2
3/19/2020,1,3
3/20/2020,2,5
3/21/2020,2,7
3/22/2020,4,11
3/23/2020,6,17
3/24/2020,9,26
3/25/2020,7,33
3/26/2020,9,42
3/27/2020,15,57
3/28/2020,15,72
3/29/2020,25,97
3/30/2020,28,125
3/31/2020,28,153
4/1/2020,36,189
4/2/2020,42,231
4/3/2020,36,267
4/4/2020,37,304
4/5/2020,68,372
4/6/2020,80,452
4/7/2020,72,524
4/8/2020,100,624
4/9/2020,112,736
4/10/2020,106,842
4/11/2020,118,960
4/12/2020,112,1072
4/13/2020,161,1233
4/14/2020,120,1353
4/15/2020,174,1527
4/16/2020,173,1700
4/17/2020,167,1867
4/18/2020,168,2035
4/19/2020,172,2207
4/20/2020,169,2376
4/21/2020,159,2535
4/22/2020,153,2688
4/23/2020,189,2877
4/24/2020,193,3070
4/25/2020,146,3216
4/26/2020,153,3369
4/27/2020,160,3529
4/28/2020,142,3671
4/29/2020,155,3826
4/30/2020,134,3960
5/1/2020,169,4129
5/2/2020,131,4260
5/3/2020,133,4393
5/4/2020,123,4516
5/5/2020,132,4648
5/6/2020,127,4775
5/7/2020,118,4893
5/8/2020,89,4982
5/9/2020,59,5041
