Date,Positive Total,Positive New,Probable Total,Probable New
1/29/2020,1,1,0,0
1/30/2020,1,0,0,0
1/31/2020,1,0,0,0
2/1/2020,1,0,0,0
2/2/2020,1,0,0,0
2/3/2020,1,0,0,0
2/4/2020,1,0,0,0
2/5/2020,1,0,0,0
2/6/2020,2,1,0,0
2/7/2020,2,0,0,0
2/8/2020,2,0,0,0
2/9/2020,2,0,0,0
2/10/2020,2,0,0,0
2/11/2020,2,0,0,0
2/12/2020,2,0,0,0
2/13/2020,2,0,0,0
2/14/2020,2,0,0,0
2/15/2020,2,0,0,0
2/16/2020,2,0,0,0
2/17/2020,2,0,0,0
2/18/2020,2,0,0,0
2/19/2020,2,0,0,0
2/20/2020,2,0,0,0
2/21/2020,2,0,0,0
2/22/2020,2,0,0,0
2/23/2020,2,0,0,0
2/24/2020,2,0,0,0
2/25/2020,2,0,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,2,0,0,0
2/29/2020,2,0,0,0
3/1/2020,3,1,3,3
3/2/2020,3,0,5,2
3/3/2020,4,1,8,3
3/4/2020,6,2,9,1
3/5/2020,14,8,12,3
3/6/2020,28,14,12,0
3/7/2020,72,44,15,3
3/8/2020,91,19,20,5
3/9/2020,96,5,24,4
3/10/2020,110,14,30,6
3/11/2020,132,22,35,5
3/12/2020,161,29,39,4
3/13/2020,222,61,45,6
3/14/2020,295,73,49,4
3/15/2020,363,68,55,6
3/16/2020,513,150,58,3
3/17/2020,762,249,66,8
3/18/2020,1021,259,73,7
3/19/2020,1299,278,79,6
3/20/2020,1687,388,90,11
3/21/2020,2008,321,99,9
3/22/2020,2294,286,103,4
3/23/2020,2903,609,114,11
3/24/2020,3621,718,125,11
3/25/2020,4367,746,136,11
3/26/2020,5303,936,141,5
3/27/2020,6246,943,148,7
3/28/2020,6900,654,156,8
3/29/2020,7423,523,161,5
3/30/2020,8661,1238,163,2
3/31/2020,9927,1266,168,5
4/1/2020,11264,1337,173,5
4/2/2020,12542,1278,179,6
4/3/2020,14022,1480,187,8
4/4/2020,15185,1163,193,6
4/5/2020,16162,977,202,9
4/6/2020,18094,1932,207,5
4/7/2020,20116,2022,216,9
4/8/2020,21979,1863,225,9
4/9/2020,23957,1978,236,11
4/10/2020,26011,2054,244,8
4/11/2020,27308,1297,251,7
4/12/2020,28237,929,264,13
4/13/2020,30239,2002,270,6
4/14/2020,33110,2871,275,5
4/15/2020,35709,2599,289,14
4/16/2020,38097,2388,297,8
4/17/2020,41103,3006,315,18
4/18/2020,42584,1481,322,7
4/19/2020,43674,1090,326,4
4/20/2020,46367,2693,339,13
4/21/2020,48559,2192,357,18
4/22/2020,51274,2715,387,30
4/23/2020,53682,2408,414,27
4/24/2020,55965,2283,479,65
4/25/2020,57461,1496,502,23
4/26/2020,58308,847,532,30
4/27/2020,60438,2130,603,71
4/28/2020,62545,2107,666,63
4/29/2020,64735,2190,749,83
4/30/2020,66783,2048,850,101
5/1/2020,68867,2084,945,95
5/2/2020,69898,1031,1003,58
5/3/2020,70633,735,1036,33
5/4/2020,72514,1881,1172,136
5/5/2020,74252,1738,1300,128
5/6/2020,75952,1700,1441,141
5/7/2020,77635,1683,1562,121
5/8/2020,79095,1460,1656,94
5/9/2020,79779,684,1689,33
5/10/2020,80165,386,1751,62
5/11/2020,81476,1311,1862,111
5/12/2020,82932,1456,1981,119
5/13/2020,84252,1320,2112,131
5/14/2020,85568,1316,2239,127
5/15/2020,86676,1108,2335,96
5/16/2020,87326,650,2373,38
5/17/2020,87689,363,2420,47
5/18/2020,89006,1317,2521,101
5/19/2020,90086,1080,2642,121
5/20/2020,91108,1022,2749,107
