Date,Positive Total,Positive New,Probable Total,Probable New
1/29/2020,1,1,0,0
1/30/2020,1,0,0,0
1/31/2020,1,0,0,0
2/1/2020,1,0,0,0
2/2/2020,1,0,0,0
2/3/2020,1,0,0,0
2/4/2020,1,0,0,0
2/5/2020,1,0,0,0
2/6/2020,2,1,0,0
2/7/2020,2,0,0,0
2/8/2020,2,0,0,0
2/9/2020,2,0,0,0
2/10/2020,2,0,0,0
2/11/2020,2,0,0,0
2/12/2020,2,0,0,0
2/13/2020,2,0,0,0
2/14/2020,2,0,0,0
2/15/2020,2,0,0,0
2/16/2020,2,0,0,0
2/17/2020,2,0,0,0
2/18/2020,2,0,0,0
2/19/2020,2,0,0,0
2/20/2020,2,0,0,0
2/21/2020,2,0,0,0
2/22/2020,2,0,0,0
2/23/2020,2,0,0,0
2/24/2020,2,0,0,0
2/25/2020,2,0,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,2,0,0,0
2/29/2020,2,0,0,0
3/1/2020,3,1,3,3
3/2/2020,3,0,5,2
3/3/2020,4,1,8,3
3/4/2020,6,2,9,1
3/5/2020,14,8,12,3
3/6/2020,28,14,12,0
3/7/2020,72,44,15,3
3/8/2020,91,19,20,5
3/9/2020,96,5,24,4
3/10/2020,110,14,30,6
3/11/2020,132,22,35,5
3/12/2020,161,29,39,4
3/13/2020,222,61,44,5
3/14/2020,295,73,48,4
3/15/2020,363,68,54,6
3/16/2020,513,150,57,3
3/17/2020,762,249,65,8
3/18/2020,1021,259,72,7
3/19/2020,1299,278,78,6
3/20/2020,1687,388,89,11
3/21/2020,2008,321,98,9
3/22/2020,2294,286,102,4
3/23/2020,2903,609,113,11
3/24/2020,3621,718,124,11
3/25/2020,4367,746,135,11
3/26/2020,5303,936,139,4
3/27/2020,6246,943,145,6
3/28/2020,6901,655,153,8
3/29/2020,7424,523,158,5
3/30/2020,8662,1238,160,2
3/31/2020,9927,1265,164,4
4/1/2020,11264,1337,169,5
4/2/2020,12542,1278,175,6
4/3/2020,14022,1480,183,8
4/4/2020,15185,1163,189,6
4/5/2020,16161,976,197,8
4/6/2020,18093,1932,203,6
4/7/2020,20115,2022,212,9
4/8/2020,21979,1864,221,9
4/9/2020,23957,1978,232,11
4/10/2020,26011,2054,240,8
4/11/2020,27308,1297,248,8
4/12/2020,28237,929,261,13
4/13/2020,30239,2002,267,6
4/14/2020,33109,2870,272,5
4/15/2020,35709,2600,286,14
4/16/2020,38097,2388,294,8
4/17/2020,41105,3008,312,18
4/18/2020,42587,1482,319,7
4/19/2020,43677,1090,323,4
4/20/2020,46372,2695,336,13
4/21/2020,48567,2195,354,18
4/22/2020,51282,2715,384,30
4/23/2020,53689,2407,411,27
4/24/2020,55972,2283,476,65
4/25/2020,57469,1497,498,22
4/26/2020,58317,848,528,30
4/27/2020,60447,2130,599,71
4/28/2020,62554,2107,662,63
4/29/2020,64744,2190,746,84
4/30/2020,66792,2048,846,100
5/1/2020,68877,2085,941,95
5/2/2020,69908,1031,999,58
5/3/2020,70643,735,1032,33
5/4/2020,72524,1881,1168,136
5/5/2020,74262,1738,1296,128
5/6/2020,75964,1702,1437,141
5/7/2020,77647,1683,1559,122
5/8/2020,79107,1460,1653,94
5/9/2020,79791,684,1685,32
5/10/2020,80177,386,1746,61
5/11/2020,81489,1312,1857,111
5/12/2020,82945,1456,1974,117
5/13/2020,84266,1321,2104,130
5/14/2020,85582,1316,2231,127
5/15/2020,86691,1109,2326,95
5/16/2020,87342,651,2365,39
5/17/2020,87706,364,2412,47
5/18/2020,89023,1317,2512,100
5/19/2020,90102,1079,2633,121
5/20/2020,91124,1022,2739,106
